state_name,drug_name,generic_name,bene_count,prescriber_count,total_claim_count,total_drug_cost
National Total,ALCLOMETASONE DIPROPIONATE,ALCLOMETASONE DIPROPIONATE,22514,9250,34661,1662234.01
National Total,ALCOHOL PADS,ALCOHOL ANTISEPTIC PADS,23846,14357,69014,1404256.14
National Total,ALCOHOL PREP PADS,ALCOHOL ANTISEPTIC PADS,83310,43378,232709,3818282.94
National Total,ALCOHOL PREP SWABS,ALCOHOL ANTISEPTIC PADS,2432,1869,7552,27328.45
National Total,ALCOHOL SWAB,ALCOHOL ANTISEPTIC PADS,2787,1830,7294,25977.03
National Total,ALCOHOL SWABS,ALCOHOL ANTISEPTIC PADS,42494,21348,110598,392538.67
National Total,ALCOHOL WIPES,ALCOHOL ANTISEPTIC PADS,1032,795,3257,9744.09
National Total,ALDACTAZIDE,SPIRONOLACT/HYDROCHLOROTHIAZID,1121,1144,4126,473628.37
National Total,ALDACTONE,SPIRONOLACTONE,903,988,3606,413467.73
National Total,ALDARA,IMIQUIMOD,470,447,665,284966.11
National Total,ALDURAZYME,LARONIDASE,  ,  ,38,1408265.56
National Total,ALENDRONATE SODIUM,ALENDRONATE SODIUM,1633062,257534,8099826,101120488.1
National Total,ALFUZOSIN HCL,ALFUZOSIN HCL,89732,39978,413547,22895169.52
National Total,ALICLEN,SALICYLIC ACID,21,21,26,1180.87
National Total,ALIMTA,PEMETREXED DISODIUM,315,219,1685,8228721.97
National Total,ALINIA,NITAZOXANIDE,3241,2148,4112,1756511.08
National Total,ALKERAN,MELPHALAN,223,235,672,170330.41
National Total,ALLEGRA,FEXOFENADINE HCL,81,78,123,7009.96
National Total,ALLEGRA-D 12 HOUR,FEXOFENADINE/PSEUDOEPHEDRINE,87,82,112,8393.73
National Total,ALLEGRA-D 24 HOUR,FEXOFENADINE/PSEUDOEPHEDRINE,114,114,174,21571.66
National Total,ALLOPURINOL,ALLOPURINOL,1480984,274827,7634513,62395793.38
National Total,ALOCRIL,NEDOCROMIL SODIUM,1954,1592,4132,696433.96
National Total,ALOMIDE,LODOXAMIDE TROMETHAMINE,557,492,1160,163085.94
National Total,ALORA,ESTRADIOL,2718,2876,10567,971457.59
National Total,ALOXI,PALONOSETRON HCL,598,239,2247,1720972.36
National Total,ALPHAGAN P,BRIMONIDINE TARTRATE,224013,47008,949403,139808585.6
National Total,ALPRAZOLAM,ALPRAZOLAM,2458682,362378,12545978,90249808.03
National Total,ALPRAZOLAM ER,ALPRAZOLAM,14751,12071,57200,2403947.61
National Total,ALPRAZOLAM INTENSOL,ALPRAZOLAM,362,388,888,84635.47
National Total,ALPRAZOLAM ODT,ALPRAZOLAM,1806,1752,3683,382799
National Total,ALPRAZOLAM XR,ALPRAZOLAM,5732,5211,18633,916636.37
National Total,ALPROSTADIL,ALPROSTADIL,64,46,137,9153.85
National Total,ALREX,LOTEPREDNOL ETABONATE,43680,16466,91361,16432140.17
National Total,ALSUMA,SUMATRIPTAN SUCCINATE,209,193,519,299377.39
National Total,ALTABAX,RETAPAMULIN,3113,2356,4658,692271.32
National Total,ALTACE,RAMIPRIL,2849,3078,14297,2898301.32
National Total,ALTAVERA,LEVONORGESTREL-ETH ESTRADIOL,651,721,3037,94287.61
National Total,ALTOPREV,LOVASTATIN,1367,1415,5290,4161458.69
National Total,ALUVEA,UREA,63,57,72,24767.74
National Total,ALVESCO,CICLESONIDE,6823,4576,24790,6740448.72
National Total,ALYACEN,NORETHINDRONE-ETHINYL ESTRAD,941,1032,4973,145530.78
National Total,ALZ-NAC,ACETYL/METHYL-B12/LMEFOLATE CA,473,417,1570,146833.68
National Total,AMANTADINE,AMANTADINE HCL,80835,42241,411156,42468608.62
National Total,AMARYL,GLIMEPIRIDE,1988,2146,9446,1259483.96
National Total,AMBIEN,ZOLPIDEM TARTRATE,7353,8033,35748,11070694.07
National Total,AMBIEN CR,ZOLPIDEM TARTRATE,6672,7673,36783,10725219.47
National Total,AMBISOME,AMPHOTERICIN B LIPOSOME,89,72,332,644585.3
National Total,AMCINONIDE,AMCINONIDE,3371,2442,6223,1654372.7
National Total,AMERGE,NARATRIPTAN HCL,199,224,865,380504.95
National Total,AMETHIA,L-NORGEST-ETH ESTR/ETHIN ESTRA,1020,1113,2313,402496.6
National Total,AMETHIA LO,L-NORGEST-ETH ESTR/ETHIN ESTRA,130,146,271,52984.66
National Total,AMETHYST,LEVONORGESTREL-ETH ESTRADIOL,313,364,1935,116247.03
National Total,AMICAR,AMINOCAPROIC ACID,67,68,77,21041.27
National Total,AMIFOSTINE,AMIFOSTINE CRYSTALLINE,11,  ,37,58826.18
National Total,AMIKACIN SULFATE,AMIKACIN SULFATE,5120,3331,14064,967623.73
National Total,AMILORIDE HCL,AMILORIDE HCL,16521,14886,81539,4674505.07
National Total,AMILORIDE-HYDROCHLOROTHIAZIDE,AMILORIDE/HYDROCHLOROTHIAZIDE,23995,19283,118351,1668206.5
National Total,AMINO ACIDS,PARENTERAL AMINO ACID 15% NO.1,  ,  ,17,2604.43
National Total,AMINOCAPROIC ACID,AMINOCAPROIC ACID,3006,2370,6435,3169848.53
National Total,AMINOPHYLLINE,AMINOPHYLLINE,61,52,99,652.14
National Total,AMINOSYN,PARENTERAL AMINO ACID 10% NO.2,  ,  ,25,6818.04
National Total,AMINOSYN II,PARENTERAL AMINO ACID 10% NO.1,11,11,96,15919.39
National Total,AMINOSYN II,PARENTERAL AMINO ACID 15% NO.2,  ,11,93,13140.03
National Total,AMIODARONE HCL,AMIODARONE HCL,465171,162391,2093378,42249600.7
National Total,AMITIZA,LUBIPROSTONE,143619,63445,623549,158402294.8
National Total,AMITRIPTYLINE HCL,AMITRIPTYLINE HCL,848797,264858,4321108,25724527.73
National Total,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,6244693,441869,34598901,343338072
National Total,AMLODIPINE BESYLATE-BENAZEPRIL,AMLODIPINE BESYLATE/BENAZEPRIL,480900,148413,2827486,201958981.4
National Total,AMLODIPINE-ATORVASTATIN,AMLODIPINE/ATORVASTATIN,35452,29888,161305,44832324.42
National Total,AMMONIUM LACTATE,AMMONIUM LACTATE,340546,77925,777046,16692234.27
National Total,AMNESTEEM,ISOTRETINOIN,598,584,1647,676585.69
National Total,AMOX TR-POTASSIUM CLAVULANATE,AMOXICILLIN/POTASSIUM CLAV,2531797,457524,3331197,74708558.55
National Total,AMOXAPINE,AMOXAPINE,2186,2348,14285,751150.62
National Total,AMOXICILLIN,AMOXICILLIN,4067043,547851,5825356,32652962.94
National Total,AMOXICILLIN-CLAVULANATE ER,AMOXICILLIN/POTASSIUM CLAV,27268,16281,33480,3277373.92
National Total,AMPHETAMINE SALT COMBO,DEXTROAMPHETAMINE/AMPHETAMINE,112787,68625,758627,56942330.08
National Total,AMPHOTERICIN B,AMPHOTERICIN B,916,639,2098,501724.36
National Total,AMPICILLIN SODIUM,AMPICILLIN SODIUM,1828,1696,7879,1551399.34
National Total,AMPICILLIN TRIHYDRATE,AMPICILLIN TRIHYDRATE,126581,59333,178508,1292169.98
National Total,AMPICILLIN-SULBACTAM,AMPICILLIN SODIUM/SULBACTAM NA,2539,2213,9846,1294514.74
National Total,AMPYRA,DALFAMPRIDINE,8904,3705,55758,98939770.28
National Total,AMRIX,CYCLOBENZAPRINE HCL,2245,2037,6578,5187862.43
National Total,AMTURNIDE,ALISKIREN/AMLODIPIN/HCTHIAZIDE,463,494,2692,424078.44
National Total,ANADROL-50,OXYMETHOLONE,69,54,357,640892.07
National Total,ANAFRANIL,CLOMIPRAMINE HCL,93,105,549,733679.88
National Total,ANAGRELIDE HCL,ANAGRELIDE HCL,8385,6786,48996,6508269.97
National Total,ANALPRAM HC,HYDROCORTISONE/PRAMOXINE,129,129,167,21231.64
National Total,ANAPROX,NAPROXEN SODIUM,14,16,40,9401.63
National Total,ANAPROX DS,NAPROXEN SODIUM,92,104,277,92205.73
National Total,ANASPAZ,HYOSCYAMINE SULFATE,1160,1103,2073,32203.03
National Total,ANASTROZOLE,ANASTROZOLE,212100,53495,1133719,42104411.74
National Total,ANCOBON,FLUCYTOSINE,12,12,43,506870.34
National Total,ANDRODERM,TESTOSTERONE,14145,12990,45656,18792022.71
National Total,ANDROGEL,TESTOSTERONE,164382,78576,605442,307847365.8
National Total,ANDROID,METHYLTESTOSTERONE,186,187,605,734807.38
National Total,ANDROXY,FLUOXYMESTERONE,553,547,2328,600240.69
National Total,ANGELIQ,DROSPIRENONE/ESTRADIOL,345,357,1559,204219.3
National Total,ANIMI-3,OM-3/DHA/EPA/D3/B12/FA/B-6/PHY,40,30,56,4820.43
National Total,ANIMI-3 WITH VITAMIN D,OM-3/DHA/EPA/D3/B12/FA/B-6/PHY,71,54,174,12948.11
National Total,ANTABUSE,DISULFIRAM,376,406,911,172615.12
National Total,ANTARA,FENOFIBRATEMICRONIZED,10499,7763,35276,9034950.16
National Total,ANTIPYRINE-BENZOCAINE,ANTIPYRINE/BENZOCAINE/GLYCERIN,34399,23402,39570,438920.73
National Total,ANTIVERT,MECLIZINE HCL,36,36,51,1658.38
National Total,ANUSOL-HC,HYDROCORTISONE,564,546,888,69493.25
National Total,ANZEMET,DOLASETRON MESYLATE,77,65,322,524657.62
National Total,APEXICON E,DIFLORASONE DIACETATE/EMOLL,1647,1342,2571,850111.9
National Total,APIDRA,INSULIN GLULISINE,13987,11499,53899,15731853.56
National Total,APIDRA SOLOSTAR,INSULIN GLULISINE,17513,13044,51992,18607273.61
National Total,APLENZIN,BUPROPION HBR,747,765,4235,3365844.2
National Total,APOKYN,APOMORPHINE HCL,545,322,1473,33450936.43
National Total,APRACLONIDINE HCL,APRACLONIDINE HCL,1759,1241,5378,551490.93
National Total,APRI,DESOGESTREL-ETHINYL ESTRADIOL,2243,2490,13424,347316.77
National Total,APRISO,MESALAMINE,21793,12265,101712,37749259
National Total,APTIVUS,TIPRANAVIR,395,428,3476,4249577.33
National Total,APTIVUS,TIPRANAVIR/VITAMIN E TPGS,  ,  ,19,23067.72
National Total,ARALAST NP,ALPHA-1-PROTEINASE INHIBITOR,282,278,4080,27980888.36
National Total,ARANELLE,NORETHINDRONE-ETHINYL ESTRAD,77,86,434,15492.16
National Total,ARANESP,DARBEPOETIN ALFA IN POLYSORBAT,12630,8507,58902,65380357.59
National Total,ARAVA,LEFLUNOMIDE,330,343,1507,1790736.4
National Total,ARBINOXA,CARBINOXAMINE MALEATE,490,242,855,35426.67
National Total,ARCALYST,RILONACEPT,14,13,99,2244871.56
National Total,ARCAPTA NEOHALER,INDACATEROL MALEATE,3388,1696,11745,2614764.15
National Total,ARESTIN,MINOCYCLINE HCL MICROSPHERES,4206,1965,4329,4338117.34
National Total,ARICEPT,DONEPEZIL HCL,33944,24344,183454,61527843.59
National Total,ARICEPT ODT,DONEPEZIL HCL,124,115,306,107448.65
National Total,ARIMIDEX,ANASTROZOLE,2027,1958,9417,5820437.68
National Total,ARISTOSPAN,TRIAMCINOLONE HEXACETONIDE,52,21,83,4913.89
National Total,ARIXTRA,FONDAPARINUX SODIUM,859,893,2517,6406301.37
National Total,ARMOUR THYROID,THYROIDPORK,45946,31779,190314,2076710.44
National Total,AROMASIN,EXEMESTANE,1140,1101,5286,3276808.03
National Total,ARTHROTEC 50,DICLOFENAC SODIUM/MISOPROSTOL,2298,2322,7204,1729070.73
National Total,ARTHROTEC 75,DICLOFENAC SODIUM/MISOPROSTOL,5142,5007,17715,4444310.89
National Total,ASACOL,MESALAMINE,53673,34655,124037,54716528.61
National Total,ASACOL HD,MESALAMINE,36325,24191,147963,80152630.23
National Total,ASCOMP WITH CODEINE,CODEINE/BUTALBITAL/ASA/CAFFEIN,7348,7682,30065,1770684.81
National Total,ASMANEX,MOMETASONE FUROATE,72817,44185,253849,55130659.99
National Total,ASTELIN,AZELASTINE HCL,1862,1785,4012,650591.09
National Total,ASTEPRO,AZELASTINE HCL,82439,34547,180444,26062956.01
National Total,ATACAND,CANDESARTAN CILEXETIL,30116,25598,104965,16904832.69
National Total,ATACAND HCT,CANDESARTAN/HYDROCHLOROTHIAZID,3898,3885,14454,2598210.92
National Total,ATELVIA,RISEDRONATE SODIUM,49822,16742,233068,41973706.01
National Total,ATENOLOL,ATENOLOL,2626033,319916,13920836,104699176.2
National Total,ATENOLOL-CHLORTHALIDONE,ATENOLOL/CHLORTHALIDONE,148874,77381,766492,7150565.14
National Total,ATIVAN,LORAZEPAM,3704,4069,15286,7446238.25
National Total,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,5345756,390105,26672349,910768026.9
National Total,ATOVAQUONE-PROGUANIL HCL,ATOVAQUONE/PROGUANIL HCL,34132,13238,36971,5533010.67
National Total,ATRALIN,TRETINOIN,905,693,1405,440853.1
National Total,ATRIPLA,EFAVIRENZ/EMTRICITAB/TENOFOVIR,29585,11630,264284,529149208.1
National Total,ATROPINE CARE,ATROPINE SULFATE,1891,1353,2550,44397.12
National Total,ATROPINE SULFATE,ATROPINE SULFATE,39959,18921,61240,1225118.76
National Total,ATROPINE SULFATE,ATROPINE SULFATE/PF,56,55,74,810.09
National Total,ATROVENT,IPRATROPIUM BROMIDE,375,378,917,124438.06
National Total,ATROVENT HFA,IPRATROPIUM BROMIDE,115676,78537,386476,106666587.3
National Total,AUBAGIO,TERIFLUNOMIDE,2987,1377,15139,65024385.99
National Total,AUGMENTIN,AMOXICILLIN/POTASSIUM CLAV,558,589,823,191961.49
National Total,AUGMENTIN XR,AMOXICILLIN/POTASSIUM CLAV,76,86,148,44590.34
National Total,AURAX,ANTIPYRINE/BENZOCAINE,48,48,48,7929.95
National Total,AURODEX,ANTIPYRINE/BENZOCAINE/GLYCERIN,25,25,33,378.88
National Total,AUROGUARD,ANTIPYRINE/BENZOCAINE/GLYCERIN,164,149,172,1982.48
National Total,AUVI-Q,EPINEPHRINE,3372,2427,3619,990620.96
National Total,AVALIDE,IRBESARTAN/HYDROCHLOROTHIAZIDE,3408,3525,12555,2266611.55
National Total,AVANDAMET,ROSIGLITAZONE/METFORMIN HCL,129,102,564,216336.34
National Total,AVANDARYL,ROSIGLITAZONE/GLIMEPIRIDE,25,26,129,38099.07
National Total,AVANDIA,ROSIGLITAZONE MALEATE,382,304,1859,614702.72
National Total,AVAPRO,IRBESARTAN,11963,11560,46290,7157805.64
National Total,AVAR-E,SULFACETAMIDE SODIUM/SULFUR,14,14,17,3836.77
National Total,AVAR-E LS,SULFACETAMIDE SODIUM/SULFUR,11,11,14,4052.31
National Total,AVASTIN,BEVACIZUMAB,831,388,3727,18532135.75
National Total,AVC,SULFANILAMIDE,288,267,424,70263.04
National Total,AVELOX,MOXIFLOXACIN HCL,272331,103789,345513,63925715.17
National Total,AVELOX ABC PACK,MOXIFLOXACIN HCL,5229,4468,6242,1153275.57
National Total,AVELOX IV,MOXIFLOXACIN IN NACL (ISO-OSM),702,562,1303,236689.29
National Total,AVIANE,LEVONORGESTREL-ETH ESTRADIOL,2414,2669,12871,342985.91
National Total,AVINZA,MORPHINE SULFATE,6830,7696,53116,25615521.71
National Total,AVITA,TRETINOIN,80,82,132,9463.88
National Total,AVODART,DUTASTERIDE,293723,103209,1597133,304093064.1
National Total,AVONEX,INTERFERON BETA-1A,9983,6443,80328,366776627.4
National Total,AVONEX ADMINISTRATION PACK,INTERFERON BETA-1A/ALBUMIN,1225,1202,8484,38357936.17
National Total,AVONEX PEN,INTERFERON BETA-1A,6036,3531,42047,196850191.9
National Total,AXERT,ALMOTRIPTAN MALATE,1583,1693,5990,2328516.92
National Total,AXID,NIZATIDINE,  ,  ,16,9367.65
National Total,AXIRON,TESTOSTERONE,10367,8123,25846,11710145.41
National Total,AXONA,NUT.TX METAB.DIS MV & MIN #2,1425,1171,4056,403889.7
National Total,AYGESTIN,NORETHINDRONE ACETATE,35,39,92,11034.1
National Total,AZACITIDINE,AZACITIDINE,30,25,65,308709.58
National Total,AZACTAM,AZTREONAM,798,742,1736,828558.45
National Total,AZACTAM-ISO-OSMOTIC DEXTROSE,AZTREONAM/DEXTROSE-WATER,419,380,1287,482006.83
National Total,AZASAN,AZATHIOPRINE,542,568,2394,671237.06
National Total,AZASITE,AZITHROMYCIN,46443,15838,95710,11395063.63
National Total,AZATHIOPRINE,AZATHIOPRINE,68901,40898,374723,11108213.95
National Total,AZELASTINE HCL,AZELASTINE HCL,310878,102497,705029,55466481.39
National Total,AZELEX,AZELAIC ACID,2335,2041,4316,1287224.11
National Total,AZILECT,RASAGILINE MESYLATE,40755,15457,236609,131196483.7
National Total,AZITHROMYCIN,AZITHROMYCIN,5287754,537001,7366837,90140407.68
National Total,AZOPT,BRINZOLAMIDE,151502,38072,569336,86694443.86
National Total,AZOR,AMLODIPINE BES/OLMESARTAN MED,75188,41502,406666,88692776.52
National Total,AZTREONAM,AZTREONAM,1809,1638,4361,2565267.19
National Total,AZULFIDINE,SULFASALAZINE,352,358,1507,250651.51
National Total,AZURETTE,DESOG-E.ESTRADIOL/E.ESTRADIOL,810,923,4278,222297.77
National Total,B-D SINGLE USE ALCOHOL SWAB,ALCOHOL ANTISEPTIC PADS,165,130,576,2201.64
National Total,B-NEXA,PNV/FA/B6/CALCIUM PHOS/GINGER,17,15,29,1802.21
National Total,B-PLEX PLUS,MULTIVITSTHERAP W-FEHEMATIN,12,12,28,85.23
National Total,BACIIM,BACITRACIN,  ,  ,65,3523.3
National Total,BACITRACIN,BACITRACIN,82348,26098,124815,7570695.5
National Total,BACITRACIN-POLYMYXIN,BACITRACIN/POLYMYXIN B SULFATE,25498,12007,35503,828751.44
National Total,BACLOFEN,BACLOFEN,630565,185068,2752359,37518777.66
National Total,BACMIN,MULTIVIT MIN CMB#20/IRON/FA,210,176,1078,18127.03
National Total,BACTRIM,SULFAMETHOXAZOLE/TRIMETHOPRIM,43,44,91,6240.06
National Total,BACTRIM DS,SULFAMETHOXAZOLE/TRIMETHOPRIM,604,639,924,65629.85
National Total,BACTROBAN,MUPIROCIN,565,563,954,122517.5
National Total,BACTROBAN,MUPIROCIN CALCIUM,18610,15269,25976,3058343.7
National Total,BACTROBAN NASAL,MUPIROCIN CALCIUM,21011,14412,25319,3288199.91
National Total,BAL-CARE DHA,PNV81/SOD IRON EDTA& PS/FA/OM3,  ,  ,18,1794.63
National Total,BALSALAZIDE DISODIUM,BALSALAZIDE DISODIUM,19207,12108,89015,11371334.89
National Total,BALZIVA,NORETHINDRONE-ETHINYL ESTRAD,687,783,4181,144477.99
National Total,BANZEL,RUFINAMIDE,1843,1571,19191,26222669.52
National Total,BARACLUDE,ENTECAVIR,7852,5969,58691,67371799.32
National Total,BCG VACCINE (TICE STRAIN),BCG LIVE,314,172,502,272148.62
National Total,BCG VACCINE (TICE STRAIN),BCG VACCINE LIVE/PF,28,25,34,11854.99
National Total,BD INSULIN SYRINGE,SYRINGE & NEEDLEINSULIN1 ML,  ,  ,38,613.59
National Total,BD INSULIN SYRINGE MICRO-FINE,SYRING W-NDLDISPINSUL0.3ML,46,43,125,2282.13
National Total,BD INSULIN SYRINGE MICRO-FINE,SYRING W-NDLDISPINSUL0.5ML,156,153,375,8470.41
National Total,BD INSULIN SYRINGE MICRO-FINE,SYRINGE & NEEDLEINSULIN1 ML,60,63,165,4208.71
National Total,BD INSULIN SYRINGE ULT-FINE II,SYRING W-NDLDISPINSUL0.3ML,161,159,393,9729.8
National Total,BD INSULIN SYRINGE ULT-FINE II,SYRINGE & NEEDLEINSULIN1 ML,310,311,708,19276.55
National Total,BD INSULIN SYRINGE ULTRA-FINE,SYRING W-NDLDISPINSUL0.3ML,20,20,37,854.31
National Total,BD ULTRA-FINE PEN NEEDLE,NEEDLES INSULIN DISPOSABLE,894277,199969,2770178,116519946.8
National Total,BECONASE AQ,BECLOMETHASONE DIPROPIONATE,3928,3847,10661,2257851.61
National Total,BELLADONNA-OPIUM,OPIUM/BELLADONNA ALKALOIDS,535,571,969,560515.79
